Verified,Reviews,Recommended
yes,"    ba encourage you to download verifly to speed up your check-in, this is absolutely rubbish as the desk staff don’t seem to want this, they want to see the actual forms tests etc! this wasted about 40 minutes and is pointless. the return flight again had no access to the club lounge, you pay for extras such as this as part of the business class ticket price and should by now be made available again (last 2 flight not available at nce but this is more a part of the covid experience). on board staff were good although one did joke to another welcome to ryanair. on board food was very good for a short haul flight.",no
yes,     they cancelled a flight i booked three months ago for some operational problem at a time where the prices are off the roof. british airways could not give me any alternatives other than refund or a voucher. ,no
yes,"     i’ve been flying with ba for years and never had any issues. i recently had to arrange to have surgery in budapest and naturally wanted to fly ba. so i booked my flights from bhd to bud via lhr online on their site. once booked i informed the hospital and confirmed my appointment. the very next day i received an email from ba telling me they had cancelled my flight to bud but not to worry as they had moved me to an earlier (a much earlier) flight the same day. only problem was this earlier flight departed around two hours before my flight from bhd arrived. i would have thought that this would have flashed up on their system as being an issue, but seemingly not… *interlude* to get into hungary during covid one needs a valid reason, with medical treatment being one. i had to fill in a very confusing form on the hungarian police website that was a confusing mix of hungarian and pidgin english. anyway form filled in with flight numbers etc, emailed to the authorities there and exemption granted. so i took the earlier flight but this meant i had to fly into london the previous evening and stay overnight in a hotel. so operation booked, hotel booked, airport transfers booked immigration papers amended and re sent and admiration granted and flights re booked, what could go wrong? around three weeks before i was due to travel, ba, rather unsportingly, decided to cancel my flight to bud again. needless to say i was furious. i complained to ba customer services and was given a stock excuse about covid disrupting air travel. great excuse, only having looked at bud arrivals info, ryanair had been flying there once daily for at least the preceding several months. so ba’s covid excuse rang somewhat hollow. epilogue: i got refunded most of my money from the flights i booked with ba, although they refused to refund my bhd - lhr flights because who knows? i also lost the money i had spent on a hotel and half of the money i had spent on booking airport transfers. given the cavalier attitude ba seem to have to bookings and their indifference to ruining weeks of preparation on my part and the fact that i lost a not inconsiderable sum of money, i’ve decided to avoid ba from now on.",no
yes,"     check in well organised. no lounge in cancun. efficient boarding process. given water bottle before take off, no welcome drink. now covid rules are being relaxed this needs to change. menu good and food acceptable. staff were experienced and well organised and gave a very slick on board experience. managed to sleep a few hours. for the first time my tagged luggage was off quickly. this may reflect the fact that our flight was the only one into gatwick at that time.",yes
yes,"     departure lgw north so aspire lounge. bag from fine, lounge basic, on time departure. cabin crew welcoming but only given menu, water and amenity pack. looks like some of white company bedding options removed. lunch was fine and good pre meal drinks service. not complete return to old days but getting there. flight generally good. early touch down. club world luggage off last which meant a wait of 75 minutes for luggage!",yes
no,"   booked flight six months before travel, then month before the flight ba cancelled the flight giving the option to rebook for another day - bearing in mind that people have work and school that wasn't ideal on top of booked parking for over three weeks. we rebooked the flight- as suggested by them and a week later ba cancelled the rebooked flight. we were told that we will receive a refund within 10 working days. over two weeks passed and i called again. i was informed that they can't give a time frame for processing refunds, and no refund issued yet. ba representative refuses to give contact details to the manager, they cut the phone. ",no
no,"   the airline cancelled my initial return flight with a 2 hours layover in london, and my only option was to book the next flight that has a 7-8 hours layover. that's before i board the flight to toronto. while i understand schedule changes, and do my best to stay positive and supportive, i contacted the airline, asking for upgrades to a best seat. i asked for access to the airport lounge during my prolonged stay in the airport. they denied my ask, no explanations and no empathy. not only that, but they ignored my subsequent ask to provide a path to escalation. again, not the change in schedule, not the extra 5 hours layover time. just the way they chose to treat a customer who didn't do anything wrong except trusting them with his commute. ",no
no,"   i was traveling with my wife in business class from seattle to bangalore via connecting flight in london and we reserved our seats together while booking the tickets. but mysteriously they changed it later and when we got our boarding pass, they assigned 11h and 5d. called several times but they couldn't do anything and gave us explanations like may be some one else needed those seats and there are no other seats together available. when we boarded, the whole plane was empty and still they didn't allow us to seat together. ",yes
yes,"     i usually avoid ba because of its appalling customer service and sneaky extra charges, but this flight was my only option. note that ba actually charges for seat pre-selection in biz class -- 100 uk pounds in this case! does any other airline in the world dare do that? i saved the money and waited until checkin to choose my seat for free. the seats were ba's universally derided, cramped 6-across back-to-front configuration, where you stare into the face of your seat mate an arm's length away. no other airline ever came up with this awkward arrangement --- i wonder why? no preflight drink was offered. at meal time i selected one of the three main offerings, only to be told it wasn't available -- even though there were only 3 people in my 16 seat biz section. the seat area has practically no storage except a tiny drawer at ankle level that is inaccessible when the seat is in lie flat position. the ""bed"" is the narrowest i have experienced in biz class, and is also very hard. the cabin was very cold and the blanket very thin; i had to raid blankets from two other seats just to stay warm. the amenity kit is the smallest i've ever seen in biz class -- it fits in the palm of the hand. all in all, this uncomfortable, miserly experience is hardly worth the £5,727 that ba charges for this route. i used miles to pay for my ticket -- but of course got whacked with ba's unique and notorious ""fuel surcharge"" fee of $636 for using miles.",no
no,"   aktion airport has only recently opened its new facilities and check-in and departure certainly seemed very clean and efficient, although admittedly it’s only having to cope with a low passenger load at present. it was good to see that check-in carefully scrutinised lateral flow certificates and passenger locator forms. thanks to just 30 passengers on board, with more than half in club europe, the flight took off ahead of time. service was a little perfunctory and the food was more reminiscent of economy than business class, with too much pre-packaging - the covid effect, presumably. arrival into t5 was also comfortably ahead of schedule, and although we were dreading many hours of queuing at border control, we were through the e-gates and collecting our luggage just 20 minutes after landing.",yes
yes,"     i want to say a big thank you to kahina ladjouze. after frustratingly missing my flight due to m25 road closures, she helped me secure and book the next day flight without additional charges. i am really grateful.",yes
yes,"    after sixteen months of being grounded by covid, it felt almost surreal to be back in t5, heading for what to us was essential summer sun in greece. t5 was blissfully quiet, with no queues at check-in or security, and even the galleries south lounge was less frenetic than usual, despite families with kids similarly desperate to escape boris johnson’s bully boy attitude. ordering food and beverages from one’s table seems something worth continuing, avoiding all the wastage of endlessly replenished buffets. the flights was very quiet, with just 30 pax on board, 9 of whom were in club europe. boarding by row also seemed a welcome improvement on the previous ‘groups’. service on the flight was good and the food was of the usual do&co quality. landing was ahead of schedule and we were through passport control in just a few minutes after a quick check of vaccination certificates and the passenger locator form. overall, a thoroughly reassuring, coming out of covid, experience.",yes
yes,"    ba cancelled flight in dec 2020. refund was promised in voucher form by call center. we are now 6 months down the line, 13 calls of which each is 40 min waiting time, and 16 email reminders. conclusion is that they are just going in circles to avoid issuing any voucher. head of call center is keeping to her empty promises.",no
yes,    fantastic flight down to heathrow. crew doing their best to keep everyone happy in challenging times. nice to see they have introduced a free snack and water. it’s a start.,yes
yes,"     boarding and disembarking were greatly organised: passengers were boarded at the gate by seperate rows, from the backside to the front (business), minimizing the possiblity for jamming. same at disembarking: passengers were asked to remain seated, then row per row was called. crew members were supporting the process. what could be improved: distribute hand-sanitizer during boarding. when snack was distributed my row (#8 business) was overlooked for some reason; after a while my seat neighbour highlighted that we did not get food - staff was surprised and fixed it, this was my first flight since one year, and i appreciated the covid measures taken by ba - still it left some strange experience.",yes
yes,"    this was not my best experience with ba thus far as there were a couple of disappointments. i was happy with the fast baggage check-in. this was a bus gate which is not my favourite thing but not a blemish on the airline. the covid protocols are not as robust as they should be, particularly attendants need to be armed with sanitizer at the cabin entrance. there was a big mix up which i find inexcusable - i and another passenger were allocated the same seat on the same plane, causing a few anxious moments and the friendly attendant had to get me another seat but i don't expect such at this level. bottles of water were offered to every passenger which was welcome. the plane arrived 10 minutes late.",yes
yes,     ok flight apart from they cancelled the majority of the outbound and crammed everybody on one flight. after having my return cancelled 3 times i opted for a voucher so i could rebook a new route. i had not been informed before requesting the “e-voucher” and i would need to call up to rebook (i’m in a different country and the phone tariffs are extortion). so not only was my flight cancelled 3 times i wasn’t offered an option to rebook a new flight online i was inconvenienced every step of the way.,no
yes,"    absolutely appalling experience. british airways, unfortunately, has lowered it's standards and to my dismay, i've been recently having a much better flying experience with budget airlines rather than ba. customer service representatives are completely clueless, unprofessional and not bothered.  i recently had my flight cancelled on 3 occasions and the staff weren't interested in helping me return home.",no
yes,"    had booked the above mentioned flight. but the travel restrictions changed a week before the travel dates. the airline didn’t notify me until i learned that i could not fly with the airlines only at the airport when i went for check-in. it was a single ticket with the company and they said they didn't realise i was flying from canada to india via london. the restrictions didn't allow any via flights but were ok with direct ones. when i booked a single ticket from canada to india, how come they didn't realise i couldn't fly? no refund at all. gave me a credit for me to travel anytime in the next two years, but i don't have any travel plans for the next two years. that means my money is gone? when talking to representatives, they ridiculously put everything on the website agents which was 'onetravel'. the worst experience ever with an airline. am a frequent flyer, was trying ba for the first time but now i guess i am never going to fly with you. on my return journey, the other flight gave me a full refund when the new travel restrictions didn't allow them to take me. a poor show with ba.",no
yes,"     my return flight from antigua to london was cancelled 2 times. when i call to ba several times their computer system didn’t work and they couldn’t issue new ticket, as the result i had to pay airport price for baggage, as i couldn’t pay online without ticket. they promised to give me compensation of hotel stay, food and travel if complete online form. when i done it, i was asked to submit expenses, but link provided was to lost baggage expenses, not what i claimed. i replied that link is wrong and asked for correct link. they replied that they wouldn’t compensate anything. ",no
no,   4 cancellations for 1 month! applying vouchers only to find out they don't work after new cancellation! terrible stammers. do not recommend to anyone in covid restrictions.,no
yes,"     i had travelled to india for an eye surgery, on my flight back to london heathrow i was assisted by a member of the cabin crew madeline thomas. she was an amazing person as she made sure i was feeling okay as i had come back from my surgery and was traveling by myself. she was more then a nurse and took care of my needs like a mom. she also made sure i had eaten my food and stood by next to me as i was feeling awful because i was in lot of pain",yes
no,"   i was travelling back from mexico city on a business trip. fully aware of the covid safety restrictions at the moment, which the staff do an admirable job with - but nevertheless a lot to say on the state of ba first at the moment. firstly - no lounge at all at mexico city terminal 2. there's a paid lounge, but the check in staff wouldn't help with the details. mexico city terminal 1 has functional lounges for aeromexico working. not good enough for an expensive ticket. finally got to board and the staff are incredible - but throughout they were super apologetic as to what was to come. the food was literally inedible in first and staff offered commented as much every time. so for an 11 hour trip in first the option really was chocolate or crisps. the first suite on the flight had visible signs of wear and tear and needs some attention. the seat would not easily convert to a bed. it had scuff marks around it and generally looked a bit shabby. again, not what you'd expect from a premium product. i left my watch on the flight in error and contacted ba immediately about this. despite assurances that they have a comprehensive cleaning process during covid my watch was never found. ba has outsourced their lost and found service to a separate company and in the process they have completely washed their hands on helping out customers. given that i told them specifically where i'd left the watch i can only assume that one of the cleaning staff decided to keep it. all in all, you pay premium on a flight for additional service. ba isn't offering it at the moment. if it is essential that you have to fly really don't bother with first unless you have to - or go to another airline. the company just don't care.",no
no,   charge £700 fee to make an amendment to a booked holiday well in advance. absolutely disgraceful. their site says £30 fees for amendments and when you ring up they say that you ticked the terms and conditions box and refer to page 27 of terms and conditions and use it to charge you an extortionate amount.  i received nothing but bad attitude and rudeness from the representative.,no
no,"   good service the whole way. nothing exceptional but it was only a short flight. plane was clean and refreshments were provided. my only issue is that the flight was packed - understandable as it was just before chirstmas but surely it is not wise to have strangers sitting so close to each other during a pandemic, even with the masks? my return flight was cancelled but it was easy to transfer to a new flight so no issues there either - just hoping for a little more personal space next time! also wi-fi did not work. i also liked that they had a system for boarding and disembarking to avoid everyone rushing at the same time, brought in for the pandemic i'm sure but i hope this is something they continue into the future as it made the experience much more pleasant. value for money marked down only because the christmas flights were so expensive! to be expected though, i know.",yes
no,"   i entered the plane with a bunch of white flowers and a flight attendant joked that i should have felt obliged to bring the flowers, when she realized that i was going to my mother's funeral with the flowers she was apologetic (she had no idea why i was bringing in flowers) but the crew were very nice to me during this flight.",yes
yes,"     i was supposed to fly with aeroflot on the 23rd of december to moscow. but because russia has closed its borders, like the majority of other countries, the flight was canceled, and i couldn’t get home. i’ve also tried to fly through antalya, but the same situation occurred. on my third try, i came to heathrow and tried to fly away to cairo. i was declined by another company. then i went to british airways. starting from testing (because egypt requires tests), as stressful as the whole situation was, the employees were outstanding! (i’m not sure is it connected to ba, but still, i want to mention this). the crew was very helpful and extremely understanding, very professional and urgent to help, they have been a great help and i am very gracious for this. i want to separately point out one employee - shanell (if i am not mistaken, who works at collision testing center in heathrow terminal 5). she is a savior and most importantly a human, which is very rare nowadays! carrying on, i went to ba check-in, but unfortunately couldn’t do it, as my results didn’t go through yet. however, another outstanding employee who provided great help called her colleagues and arranged for the booking to be frozen until the results arrive. i’ve come to her 3 times with additional questions, and every time she was very patient, professional, and happy to help. after i got my results i came back to heathrow on 24th, but unfortunately, there were no flights to cairo, the situation became even more complicated (i will spare the details). however, here again, brilliant employees of ba offered their personal assistance and showed sympathy and humanity towards me. the nicest lady i’ve ever met, unfortunately, i didn’t catch her name, but i am aware it was her first day at ba and that she is egyptian, followed me throughout my struggles, offered me emotional and professional support. she tried to find any possible ways for me to get back home and actually did. she was open to any kind of help and was enormously helpful for which i can’t thank her enough. she also asked her colleague to help me, which he kindly did.  lastly, the nice lady (shame i don’t know her name) also shared my struggles with her colleague mani who came to substitute her on the position. he was very friendly and attentive as well, talked me through the process, offered different ways i can stay at the airport, gave his phone to call, and offered to drop me off at the hotel, which he did not have to do whatsoever. to conclude, i merely want to thank all of these individuals one more time, as they have been a great help both in physical and mental aspects, i honestly do not know what would i do if i haven’t met them. i don’t know was i just lucky to meet these people or all ba employees are of the same morality, but i do want to thank ba for hiring and providing jobs for these great human beings as well as upholding the standard for other airlines! for some people, the help that was provided to me might seem like a normal thing to do. however, for me, it was a pleasant and so much needed surprise. as no one in",yes
yes,"     dubai to london on 5th december. flight was ok - seat comfortable enough, crew reasonably friendly but my food was gross.  both flights almost full with little social distancing and plenty of mixed groups sat next to each other. lots of passengers with masks below nose or not on at all. when coming back to heathrow many seemed to have below their nose. announcement made at the beginning about masks. crew challenged a couple of people at beginning of flight for not having them on or below nose but seemed to give up at the end. when leaving plane good number had already taken off yet nothing. on way back not a single maskless or incorrectly worn mask challenged. a guy opposite me had his mask below nose the whole flight. he had a conversation with several attendants neither of whom said anything.  not like the crew were busy either, did 2 services the whole flight then rest of the time didn’t see them. of course flying in these times is a risk but those risks can be reduced by passengers wearing masks, enforced by the airlines.",no
yes,"    this is my first flight since january. we have had three cancellations which ba handled superbly. but this flight went ahead. check in at lhr was fine, no fast track se unity at t5. galleries south lounge open, they have an app system, it seemed to work well and my breakfast arrived quickly. followed this with a shower (they are open-limited hours). flight on time and well presented a321. staff worked hard, nice drinks run, the packed lunch was not dissimilar to the old short haul economy product but was fine in these times. landed on time, priority baggage cane off late. overall, happy with product and would use again.",yes
no,"   i had a direct flight from london to lahore and travelling with them was a nightmare. they did not have milk for my son's bottle, didn't even give warm water for his formula milk. no kids meals, no snacks. meal portion size was tiny, 1/4 glass of juice. you literally have to beg them for drinks water etc.. staff was so rude and treated us like trash. if you compare them with emirates, i would give emirates 10/10 and british airways 2/10. it's not at all child friendly. i will never travel with them again.",no
no,"   overall i have to say i am really pleased with the service ba provided, given the circumstances which must be particularly challenging for airlines. i had to call ba a few times regarding both my outbound and return flight and i would rate their customer service 10/10. everyone i talked to was extremely friendly and helpful, one employee even tried to help me figure out the recently updated arrival regulations from an italian website and listened to my rant about constantly changing restrictions and quarantines. i was refunded promptly for part of my flight that had been cancelled and i was able to change my return flight to a completely different route and date with only a minimal charge. they have really shown flexibility here, which is needed when travelling in 2020. the flight itself was fine and i appreciate that food and drink options are currently a bit limited, given that everyone should wear their mask as much as possible rather than sipping tea. the one thing - which i mean as constructive criticism though - i think ba could improve is a little more exchange with their destination airports. the arrival sheets for italy we were given on the flight were outdated and the ground staff in heathrow in charge of the boarding procedure did not even know that swab tests were now mandatory for arrivals in italy when i asked him whether he knew any details of what to expect in venice. that's fine on the first day after (yet another) update, but this rule had been in place for 4 days on the day i travelled. overall my experience with ba was very positive though and i am happy to spend a little more on my flight than i would with some cheaper airlines for the great customer service i received.",yes
yes,"    i am extremely pleased with british airways as they refunded my tickets munich-london city-munich within 2 working days in a friendly and professional manner: the difference between british airways and lufthansa is night and day. friendly, professional and prompt are 3 adjectives to describe ba, while lufthansa is best summed up as arrogant, impossible to contact and ignorant. well done and best wishes to all at british airways.",yes
yes,"     boarding and checkin formalities are very nice. check in help desk was very helpful and supportive. everything was nice except food. i am vegan and there was no food availability for vegetarian passengers if not pre-ordered. my flight was 10 hour journey from london to bangalore, and i was hungry.",no
yes,"     i have always had great flights with british airways but this time the experience was absolutely amazing! as this was my 100th flight, i decided to celebrate it in club europe, which turned out to be a perfect decision. the stewards working in club made me feel special and delivered a professional and personalised service and were kind and chatty. although the cabin crew was the best part of the flight, other features didn’t let me down either. efficient business class check in at warsaw, cosy executive lounge preludium with attentive and helpful staff, well organised boarding (although no priority for club europe because of corona). the aircraft was very fresh and clean. seats were comfortable with enough legroom, adjustable headrests and power ports. the on board service is different than before corona times but it’s still very good. tasty lunch box from do&co with fresh chicken sandwich, oriental vegetable salad and and amazing chocolate mousse. the choice of drinks was wide, including a very good quality champagne from nicolas feuillatte. all in all a perfect flight experience with british airways. everything i expected from this flight was fulfilled. the one thing i can complain about is baggage handling at heathrow. we waited around 50 mins for luggage and they were also delivered irrespecutful of club europe priority.",yes
yes,"     we had a flight to santorini from lhr at 8:10am. as the flight was full, we had to check in all our luggage. we arrived at the airport at 7:00am, and the queue for check-in was incredibly long because some desks were closed. it took us over 40 minutes to arrive to a desk, and when we arrived we were told that the check-in had closed (at 7:25am) and that we had missed the flight. british airways staff did not offer us to jump the queue at anytime. the lady at the desk booked us on a flight to athens instead, telling us that the costs to reach santorini would be reimbursed. we had to book two tickets worth £200 for a flight to santorini on the same day. we have just received a response from the customer relations service telling us that we would get nothing. ",no
yes,"     my flight from los angeles to paris via london was delayed due to late inbound aircraft due to mechanical and so i missed my connexion in london and arrived in paris 3'25"" late and missed my onward connexion on air france and had to overnight on my own dime in paris. i applied for compensation lawfully due me through ec261 but their customer relations department refused by carelessly determining that my flight had arrived in london under the 3-hour delay window for compensation even though my final was clearly paris and their cr agent acknowledged this. after i pointed out the error she ignored me so i filed a claim with the centre for effective dispute resolution and ba sent them a defences. they claim i traveled on af65 and arrived in london ahead of schedule. the truth is that ba at lax rebooked and reticketed me on that flight however af refused to accept me and my baggage unless i paid them a surcharge. so, ba then rebooked me on flights to have me arrive very late into paris and misconnect and have to overnight there. i do not know which is more shocking that ba would lie to the authorities in order to support their indefensible position or that their agents do not know how to read a passenger name record's air history.",no
yes,"     i was deeply unimpressed with the lack of social distancing on my flight. the plane to london was 90% or more full, and no social distancing could be applied. a number of people wearing face masks incorrectly (over mouth or as a chinstrap) throughout the flight, and there was a fair amount of time when masks were off for the free snack (small bag of crisps and 250ml of water).  it seems crazy to allow a considerate amount of time with masks off or inappropriately worn in such a small space with no safe distance whatsoever. also, only the absolute minimum of service which, given covid, is understandable but makes the flight really boring - or not, since some excitement was provided by turbulence, with very little information from the flight deck. disembarkation was chaotic to say the least but terminal 5 was empty and vast enough to allow to finally distance. an upgrade for 89 euros one was was available but it didn't seem to make sense. at least they departed on time and the plane appeared reasonably clean.",no
yes,"    newcastle to london heathrow with british airways. i was pleasantly surprised. plane was on time and spotlessly clean. professional staff; bottle of water, crackers and crisps handed out. lovely deplaning with special covid social distancing system working well.",yes
yes,"     due to the coronavirus situation, i bought a return ticket back to my home country (singapore) from london (where i currently reside) because the first wave of asia in march was done. i was due to fly back to london on 25th august 2020 and my flight got cancelled. before my flight cancellation, i got an email from the airline that i could apply for a voucher if my flight ever got cancelled, so i applied for an online voucher. but i was told that i am not eligible to get a voucher because i have done the london to singapore leg. a month later, i tried again to redeem for a voucher and somehow i was successful. but to redeem the voucher i have to call to redeem the voucher (which i think it is a complete joke) and i was put on hold for many hours.",no
yes,     british airways canceled my flight to london on june 3 due to covid-19. it is july 23 and they still have not refunded my money. i've reached out to executives after trying the usual customer service path. nothing has worked. they will not call me and will not provide me any resolution. they are blatantly ignoring emails asking for help. avoid british airways. service is non-existent and they will keep your money. they are keeping almost $3000us of our money.,no
yes,"     london to frankfurt. i made the mistake of exchanging my april flights with ba for a voucher, because of the travel disruption due to the pandemic. big mistake. ba has failed completely and does not seem to care. i tried to book an august flight using the voucher, but frlights cannot be booked online using a voucher. you have to wait for hours on the phone to speak to someone. customer service tried to charge me twice the original cost. then no email confirmation for hours, after i chased it up (another long wait on hold). email confirmation showed they had booked the wrong outbound date - service supervisor denied any error on their part and refused to rebook for correct date or give a refund. a few days later i started all over again and booked an alternative outbound date (still not the one i wanted, but better) - and 3 weeks later, ba cancelled the return flight! so i called for a refund to be told ""if it hasn't appeared in my account after 21 days, to get back in touch"".  things go wrong. it's how you deal with problems that mark out good customer service. ba hasn't a clue!",no
yes,"    ba cancelled my flight to lyon, march/april 2020, because of the corona crisis. i could not obtain a refund, as the ba website and telephone service made this impossible, it just sent me round in circles. so i opted for a future travel voucher, as this could be obtained via the website. i have now tried to use the voucher for a flight to munich, and was informed by the website that i have to call ba for this. the silver card member phone number is inaccessible, as ba has reduced telephone access to one number. i have now called this number five times, each time i was told to call at another time, as 'in these difficult times, they had to protect staff'. this is exactly the same message that i received the many times i called for a refund. is ba not honouring their voucher system, trying to fob off customers and keep their money? this is appalling business practice!",no
yes,"     a short hop from london to edinburgh in november 2019 - efficient, clean and punctual. the airport experience was straightforward and i think flying from city you get simplicity but miss out on the bigger aircraft which are a bit more comfortable. i got my luggage quickly at the other end and i appreciated having a wide range of flight times to choose from.",yes
yes,     total rip off. british airways cancels flights due to pandemic covid 19. when i use the voucher they issued me they want me to pay a additional $1000 for a first class seat. british airways way to rip people off and profit from a world pandemic. ,no
no,"   i booked flights to rome from the us and then home through london to lax in february of this year for the 1st of august. i booked through american airlines, and then i paid for seat selection for 3 people through the ba website, paying us $951 in total. with the pandemic, it is now impossible for me and my group to travel to italy and england on this trip as (1) we are not allowed to travel outside the us, (2) as americans we are not allowed to travel to italy or england, and (3) the us government has not processed one of the passport renewal we need to fly which was mailed in early february. i had to cancel all of our hotels, airb&bs, car and train reservations over the last week in order to qualify to obtain refunds and/or vouchers. i’ve tried to reach british airways customer service a number of times, finally got through today after an hour on hold. i asked how to obtain a refund or voucher for the business class seat selection that i had paid for and was told that i will lose the money i paid, that there are no refunds or vouchers allowed, because i booked the trip through american airlines and not through british airways. my understanding is that ba and aa have a partnership that should make it relatively seamless to book and travel on either or both partners, though i was shocked at having to pay nearly $1000 just to reserve our seats in business class, but this is apparently not the case. i was told that if ba cancels the two flights that we are booked on that i might be able to get either a voucher or a refund. i was prepared today to accept a voucher that i could use when i rebook this trip for 2021, as i understand that ba (and all airlines) are suffering financially as much as i am, but i was not prepared to be totally ripped off by ba. i cannot wait until the first flight is supposed to fly, august 1st, to cancel this as i will lose the money and miles i paid american airlines for this flight. i am at a loss as to what i can do to handle a situation that is totally out of my control and for which an airline partner that i valued traveling on is refusing to offer a voucher or a refund. i will never again do anything that gives revenue to british airways.",no
yes,"     i booked a trip to spain for mid-march 2020 with american airlines, british airways and iberia. i needed to cancel this flight due to the pandemic and travel ban to europe that began in march. i was able to change my flight at no cost, which is great, but given the fact that my flight left the day the travel ban began, those tickets should have been refunded. if i were to have boarded that flight, i would have been quarantined in europe and would have faced a mandatory quarantine upon re-entry to the us if i were able to return at all. the fact that british airways did not cancel this flight is beyond me since i do not know who in their right mind would have traveled to spain with the travel ban enforced. the response i received from british airways is that it does not matter the reason, unless they cancel the flight, no refund or voucher is available. i'm very disappointed in the response from them during a global pandemic and will not book another flight with them.",no
yes,"     i booked london to tel aviv in jan 2020, to attend a school reunion. i booked economy. ba then sent me an upgrade offer which i accepted at an additional £500. so i would fly premium in the new plane. covid hit and they cancelled the flight. no fault of theirs. their subsequent behaviour, was all their fault! after a mammoth effort to contact them, i was offered a full refund. this took months and many calls to get, and they deducted £150 as a service fee for the upgrade. calls and e-mails all result in the same robotic response. as you made a post booking change we are unable to offer a full refund. ",no
no,"   i booked my honeymoon flight from san diego to barcelona in september 2020. i have since needed to cancel this flight due to the pandemic and the uncertainty of travel, especially to other countries. i was able to change my flight at no cost, which is great. however, this is my honeymoon and i paid in advance for seats to ensure i sat next to my would be wife. this was more than $1,000 in additional cost. the response i received from british airways is that it does not matter the reason, unless they cancel the flight, no refund or voucher is available. i then asked if i wanted to make sure i sat next to my would be wife, they expected me to pay again? the answer was yes. i'm very disappointed in the response from them during a global pandemic, where travel is not safe and we have no idea when it will be safe again.",no
yes,"     this company is withholding my money after cancelling my flight due to the pandemic and have issued me a voucher. even though i called to explain why a voucher is useless since we are under a travel bane. initially, they had said no refunds, the only thing to do was get a voucher. after we had ordered they announce you can get refund if flight is cancelled and you don’t have voucher. ",no
yes,     tokyo to london. 12 hours without anything to eat because the sandwich i was given was inedible. there was no bar service and soft drinks were pitiful with orange running out after a matter of hours. total waste of money having paid for premium economy. i am aware it was the beginning of the covid19 issues but the situation was appalling and has been made worse by a total lack of follow up service from british airways. their attitude is unacceptable - it is all about money with them. ,no
yes,     flight ba 282 on 11 february was delayed 173 mins due to mechanical in london and so i misconnected at london heathrow and arrived 3 hrs 25 mins late. i requested compensation and was refused - for three e-mails they told me my flight to london was delayed 173 mins (under the 180 mins floor) and i continued to reply that i did not fly to london but to paris and arrived 205 mins late. then they started writing that i was able to make my original connexion which is untrue. i don't know whether to fault their greed at persisting in this lie or their incompetence.,no
yes,"     london heathrow to toronto. my wife and i used avios and the ba amex companion voucher to get a very good deal to fly business class on our holiday. i was also excited to fly on an a350 for the first time and it definitely lived up to my expectations. the breakfast buffet in the ba lounge in heathrow t5 was okay not amazing and there was a good range of drinks and comfortable settees. the aircraft felt very clean and fresh and had good mood lighting, very comfortable spacious seats and large high-resolution ife screens. i like the moving map but my wife opted for the movies and was impressed with the selection available. we both enjoyed the food and wines on board and it was a professional and friendly service from the cabin crew. the a350 is a lot quieter than older aircraft like the 747 and 777.",yes
yes,"     my wife and i used avios and my ba amex companion voucher to get a very good deal for business class flights to our holiday before the coronavirus lockdown was on the horizon. the check-in and security were very efficient and the lounge (not belonging to ba) was clean but had a more limited range of food than i would have expected. boarding was very quick and cabin crew were friendly and professional. i am a big fan of the iconic 747 but we flew out on one of ba's new a350's and this brought home to me that the 747 business class is looking tired and old in comparison. the seats were comfortable and the food was good but small and very low quality ife screen was behind the times. however, it was a night flight so i slept most of the journey except when there was moderate turbulence caused by strong tail-winds.",yes
yes,"     i flew with ba recently from sydney to london, deciding to return back home from travelling due to the coronavirus situation. the first ticket i booked with them was via hong kong. after booking, hk closed it's borders so i could no longer get this flight. i rang up ba who advised that the hk flight was not yet cancelled on the system so they couldn't yet book me onto a new flight yet. the customer service agent assured me he would ring me back at 11am the next day as it would be cancelled on the system by then and he would tell me what flight ba would be putting me on as a replacement. 11am came and went the next day and i had not received a phone call. i tried ringing to find out what was going on and was on hold for 5 hours and still no one answered! i decided to book myself onto another flight as there were hardly any left available and i didn't want to end up stuck in australia. i had not received the promised phone call or even an email to tell me what my replacement flight would be so felt i had no other choice. when i got back home i raised this with ba. they told me that i was supposed to process an 'involuntary change' to get a replacement flight - that is not what the customer agent advised me! i'd never even heard that term before. he simply said ba would sort it out and put me on a replacement flight, he didn't say i had to do anything. so now because i was given the incorrect advice, i am out of pocket by a considerable amount. i raised it with the ba complaints team that i had been advised incorrectly and if i had been told i needed to do an involuntary change myself i would have done so. they were extremely unhelpful and just said that they don't know why i was advised incorrectly and there is nothing they can do about it. when i said that wasn't good enough they basically just fobbed me off and told me to go to a third party adjudicator if i wanted but they were not prepared to do anything.  i will never use this airline again.",no
yes,"     during the time of covid-19 it is normal, that a airline has to cancel their flight. i’m ok with that, also when it means that i had to reorganize a few things. what’s definitely is not okay is the compensation via voucher - you can’t use their voucher online or for a cheap flight - on the hotline they offer you no online fare and just way more expensive prices! so stay far away from their voucher. for me as a regular traveler i will avoid ba as much as possible in the future. i even won’t use my miles with ba...",no
